folder,project,url,status
site_0001,health-sphere,https://health-sphere-7tek0tq2s-victorsantos-1302s-projects.vercel.app,ok
site_0002,civic-nova,https://civic-nova-g3d9oi5ea-victorsantos-1302s-projects.vercel.app,ok
site_0003,feed-media,https://feed-media-kfjcti7ct-victorsantos-1302s-projects.vercel.app,ok
site_0004,defi-press-pro,https://defi-press-a2xggdqeq-victorsantos-1302s-projects.vercel.app,ok
site_0005,info-media,https://info-media-eclpj2000-victorsantos-1302s-projects.vercel.app,ok
site_0006,dash-civic,https://dash-civic-8zjfg0kk5-victorsantos-1302s-projects.vercel.app,ok
site_0007,dev-token-info,https://dev-token-info-3h2zxu4b6-victorsantos-1302s-projects.vercel.app,ok
site_0008,report-monitor-info,https://report-monitor-info-rlw28shpq-victorsantos-1302s-projects.vercel.app,ok
site_0009,portal-secure-io,https://portal-secure-42shmewq1-victorsantos-1302s-projects.vercel.app,ok
site_0010,protocol-link,https://protocol-link-dhlhr4h15-victorsantos-1302s-projects.vercel.app,ok
site_0011,tech-verify-go,https://tech-verify-iy0efz0nd-victorsantos-1302s-projects.vercel.app,ok
site_0012,edge-media,https://edge-media-bef6xpops-victorsantos-1302s-projects.vercel.app,ok
site_0013,digital-tech-co,https://digital-tech-9134g58rt-victorsantos-1302s-projects.vercel.app,ok
site_0014,market-code-go,https://market-code-p4fp9uenr-victorsantos-1302s-projects.vercel.app,ok
site_0015,sphere-audit-plus,https://sphere-audit-plus-ptlndnhij-victorsantos-1302s-projects.vercel.app,ok
site_0016,nexus-finance,https://nexus-finance-cvh3pb8q4-victorsantos-1302s-projects.vercel.app,ok
site_0017,invest-labs,https://invest-labs-nbn6olfne-victorsantos-1302s-projects.vercel.app,ok
site_0018,civic-vault,https://civic-vault-prrsj7101-victorsantos-1302s-projects.vercel.app,ok
site_0019,mint-digital-hq,https://mint-digital-l0ag8oar4-victorsantos-1302s-projects.vercel.app,ok
site_0020,renda-vault,https://renda-vault-iviha8mpu-victorsantos-1302s-projects.vercel.app,ok
site_0021,node-digital,https://node-digital-mj7m1eg19-victorsantos-1302s-projects.vercel.app,ok
site_0022,defi-info,https://defi-info-305ehvnal-victorsantos-1302s-projects.vercel.app,ok
site_0023,stack-social-dev,https://stack-social-mq5d7ck8a-victorsantos-1302s-projects.vercel.app,ok
site_0024,portal-scan,https://portal-scan-raxmlsyem-victorsantos-1302s-projects.vercel.app,ok
site_0025,peak-vagas-plus,https://peak-vagas-plus-elgnvnrz8-victorsantos-1302s-projects.vercel.app,ok
site_0026,protocol-core,https://protocol-core-6btybed29-victorsantos-1302s-projects.vercel.app,ok
site_0027,node-crypto-br,https://node-crypto-n9afir2c8-victorsantos-1302s-projects.vercel.app,ok
site_0028,view-digital,https://view-digital-qgqumps92-victorsantos-1302s-projects.vercel.app,ok
site_0029,edge-code-digital,https://edge-code-digital-qnyxjqh2l-victorsantos-1302s-projects.vercel.app,ok
site_0030,labs-finance-info,https://labs-finance-info-mmlpcbz61-victorsantos-1302s-projects.vercel.app,ok
site_0031,hub-press,https://hub-press-o4jygq6te-victorsantos-1302s-projects.vercel.app,ok
site_0032,report-gate,https://report-gate-4uted1b5p-victorsantos-1302s-projects.vercel.app,ok
site_0033,code-desk,https://code-desk-ltvqq92fs-victorsantos-1302s-projects.vercel.app,ok
site_0034,analytics-base,https://analytics-base-im3xqawqk-victorsantos-1302s-projects.vercel.app,ok
site_0035,link-weekly-digital,https://link-weekly-digital-4hvqx2srp-victorsantos-1302s-projects.vercel.app,ok
site_0036,civic-dash,https://civic-dash-jl97yrz0q-victorsantos-1302s-projects.vercel.app,ok
site_0037,mint-secure-go,https://mint-secure-h9lacu131-victorsantos-1302s-projects.vercel.app,ok
site_0038,desk-noticias-pro,https://desk-noticias-7xkrfp2rt-victorsantos-1302s-projects.vercel.app,ok
site_0039,zone-wallet,https://zone-wallet-bo5wy5eob-victorsantos-1302s-projects.vercel.app,ok
site_0040,digital-finance-now,https://digital-finance-jtvaxgxll-victorsantos-1302s-projects.vercel.app,ok
site_0041,api-defi-br,https://api-defi-55obdtyx6-victorsantos-1302s-projects.vercel.app,ok
site_0042,dash-invest-io,https://dash-invest-587cov8em-victorsantos-1302s-projects.vercel.app,ok
site_0043,data-track-online,https://data-track-online-jc2761yf6-victorsantos-1302s-projects.vercel.app,ok
site_0044,nexus-code-web,https://nexus-code-n8avisahe-victorsantos-1302s-projects.vercel.app,ok
site_0045,daily-info,https://daily-info-85483d29b-victorsantos-1302s-projects.vercel.app,ok
site_0046,finance-monitor-pro,https://finance-monitor-nj50og205-victorsantos-1302s-projects.vercel.app,ok
site_0047,edge-finance-pro,https://edge-finance-47700qz4o-victorsantos-1302s-projects.vercel.app,ok
site_0048,nova-dev-plus,https://nova-dev-plus-fpmx50qi5-victorsantos-1302s-projects.vercel.app,ok
site_0049,web3-base,https://web3-base-htsr2el86-victorsantos-1302s-projects.vercel.app,ok
site_0050,invest-desk,https://invest-desk-5y93x78pi-victorsantos-1302s-projects.vercel.app,ok
site_0051,web3-vagas-site,https://web3-vagas-site-rokx16ygq-victorsantos-1302s-projects.vercel.app,ok
site_0052,gov-career-net,https://gov-career-bseudlwqo-victorsantos-1302s-projects.vercel.app,ok
site_0053,invest-digital-net,https://invest-digital-g1x4hwyd0-victorsantos-1302s-projects.vercel.app,ok
site_0054,chain-base,https://chain-base-irgxyg6bj-victorsantos-1302s-projects.vercel.app,ok
site_0055,feed-finance,https://feed-finance-s5cjn14t6-victorsantos-1302s-projects.vercel.app,ok
site_0056,renda-web3-sp,https://renda-web3-5njry2ybp-victorsantos-1302s-projects.vercel.app,ok
site_0057,stack-wallet-hq,https://stack-wallet-n0mprcb6u-victorsantos-1302s-projects.vercel.app,ok
site_0058,health-health-hub,https://health-health-2ety2s2me-victorsantos-1302s-projects.vercel.app,ok
site_0059,public-vault,https://public-vault-82wmqgrsu-victorsantos-1302s-projects.vercel.app,ok
site_0060,peak-health-app,https://peak-health-ayd0dzbx0-victorsantos-1302s-projects.vercel.app,ok
site_0061,secure-node,https://secure-node-i9i9pvfyu-victorsantos-1302s-projects.vercel.app,ok
site_0062,dev-protocol-app,https://dev-protocol-h62e88mb8-victorsantos-1302s-projects.vercel.app,ok
site_0063,grid-web3-net,https://grid-web3-3sj8mjk6o-victorsantos-1302s-projects.vercel.app,ok
site_0064,stack-saude-hub,https://stack-saude-ozle870fq-victorsantos-1302s-projects.vercel.app,ok
site_0065,sphere-invest,https://sphere-invest-cwtdj13kp-victorsantos-1302s-projects.vercel.app,ok
site_0066,grid-dev-sp,https://grid-dev-54d4wfg0b-victorsantos-1302s-projects.vercel.app,ok
site_0067,saude-hub,https://saude-i2kymkufx-victorsantos-1302s-projects.vercel.app,ok
site_0068,defi-verify-net,https://defi-verify-8737j8naa-victorsantos-1302s-projects.vercel.app,ok
site_0069,map-bolsa,https://map-bolsa-kacep9mvh-victorsantos-1302s-projects.vercel.app,ok
site_0070,saude-api-now,https://saude-api-oi5bkrvzp-victorsantos-1302s-projects.vercel.app,ok
site_0071,tech-market-hub,https://tech-market-lyaxk00p9-victorsantos-1302s-projects.vercel.app,ok
site_0072,zone-defi-app,https://zone-defi-mtmnt1f9x-victorsantos-1302s-projects.vercel.app,ok
site_0073,press-ledger-site,https://press-ledger-site-kgnsvmia2-victorsantos-1302s-projects.vercel.app,ok
site_0074,data-media,https://data-media-4rhgufclj-victorsantos-1302s-projects.vercel.app,ok
site_0075,press-link,https://press-link-na9celtj7-victorsantos-1302s-projects.vercel.app,ok
site_0076,sphere-digital,https://sphere-digital-2xl7vlqms-victorsantos-1302s-projects.vercel.app,ok
site_0077,mint-daily,https://mint-daily-qqt3i68jm-victorsantos-1302s-projects.vercel.app,ok
site_0078,audit-monitor-site,https://audit-monitor-site-jzlwoejmk-victorsantos-1302s-projects.vercel.app,ok
site_0079,edge-insight-io,https://edge-insight-5ulekccns-victorsantos-1302s-projects.vercel.app,ok
site_0080,digital-nexus,https://digital-nexus-n1lxxzy60-victorsantos-1302s-projects.vercel.app,ok
site_0081,career-forge,https://career-forge-ojf4v9i4e-victorsantos-1302s-projects.vercel.app,ok
site_0082,dash-insight-web,https://dash-insight-b4nbbfi7r-victorsantos-1302s-projects.vercel.app,ok
site_0083,tech-wallet-web,https://tech-wallet-3qmv3tfxq-victorsantos-1302s-projects.vercel.app,ok
site_0084,stack-block,https://stack-block-fvasvx1df-victorsantos-1302s-projects.vercel.app,ok
site_0085,prime-open-go,https://prime-open-8yxk2zyun-victorsantos-1302s-projects.vercel.app,ok
site_0086,flow-career-plus,https://flow-career-plus-i5u1e4k7x-victorsantos-1302s-projects.vercel.app,ok
site_0087,edge-bolsa,https://edge-bolsa-33nt75t9n-victorsantos-1302s-projects.vercel.app,ok
site_0088,cloud-press,https://cloud-press-a59jdoghu-victorsantos-1302s-projects.vercel.app,ok
site_0089,scan-nexus,https://scan-nexus-bsoxjbif1-victorsantos-1302s-projects.vercel.app,ok
site_0090,invest-secure-co,https://invest-secure-jbv0815jy-victorsantos-1302s-projects.vercel.app,ok
site_0091,market-monitor-digital,https://market-monitor-digital-cyl7dbx06-victorsantos-1302s-projects.vercel.app,ok
site_0092,desk-media-plus,https://desk-media-plus-498ns03ek-victorsantos-1302s-projects.vercel.app,ok
site_0093,token-forge,https://token-forge-c33ehr138-victorsantos-1302s-projects.vercel.app,ok
site_0094,core-track-hub,https://core-track-o3und2w3p-victorsantos-1302s-projects.vercel.app,ok
site_0095,media-daily-net,https://media-daily-e1kq9zx7y-victorsantos-1302s-projects.vercel.app,ok
site_0096,core-finance-online,https://core-finance-online-zetnv3gx8-victorsantos-1302s-projects.vercel.app,ok
site_0097,web3-grid,https://web3-grid-qsdwr5xde-victorsantos-1302s-projects.vercel.app,ok
site_0098,audit-flow,https://audit-flow-jlw7tn23a-victorsantos-1302s-projects.vercel.app,ok
site_0099,nexus-renda,https://nexus-renda-jf2ue6xtu-victorsantos-1302s-projects.vercel.app,oksite_0100,digital-wave,https://digital-wave-orlr6rnn3-gdsvictor15-5597s-projects.vercel.app,ok
site_0100,track-edge,https://track-edge-9p1hnw3m1-gdsvictor09-9094s-projects.vercel.app,ok
site_0101,career-defi-online,https://career-defi-online-lg9oygswf-gdsvictor15-5597s-projects.vercel.app,ok
site_0102,crypto-hub,https://crypto-c3jzad2tv-gdsvictor15-5597s-projects.vercel.app,ok
site_0103,flow-bolsa-co,https://flow-bolsa-imgifm6bi-gdsvictor15-5597s-projects.vercel.app,ok
site_0104,link-market-info,https://link-market-info-6u2yszzzq-gdsvictor15-5597s-projects.vercel.app,ok
site_0105,core-open-br,https://core-open-jevk7ff15-gdsvictor15-5597s-projects.vercel.app,ok
site_0106,grid-public-go,https://grid-public-lci8wtmcm-gdsvictor15-5597s-projects.vercel.app,ok
site_0107,fundo-dev-pro,https://fundo-dev-cfd7jj018-gdsvictor15-5597s-projects.vercel.app,ok
site_0108,wallet-map,https://wallet-1k63xj6k1-gdsvictor15-5597s-projects.vercel.app,ok
site_0109,gate-defi-digital,https://gate-defi-digital-3va9tgog3-gdsvictor15-5597s-projects.vercel.app,ok
site_0110,cloud-press-dev,https://cloud-press-1tezeckhx-gdsvictor15-5597s-projects.vercel.app,ok
site_0111,nova-token-io,https://nova-token-ffduqbtg4-gdsvictor15-5597s-projects.vercel.app,ok
site_0112,node-block-net,https://node-block-7q3mbzx23-gdsvictor15-5597s-projects.vercel.app,ok
site_0113,view-dev,https://view-pemzc1kq5-gdsvictor15-5597s-projects.vercel.app,ok
site_0114,report-dash,https://report-dash-dnypiuxup-gdsvictor15-5597s-projects.vercel.app,ok
site_0115,vault-finance-pro,https://vault-finance-2040n68u6-gdsvictor15-5597s-projects.vercel.app,ok
site_0116,crypto-flow,https://crypto-flow-qfua4drm2-gdsvictor15-5597s-projects.vercel.app,ok
site_0117,market-edge,https://market-edge-5ol077gac-gdsvictor15-5597s-projects.vercel.app,ok
site_0118,dash-public,https://dash-public-8xoehjagp-gdsvictor15-5597s-projects.vercel.app,ok
site_0119,info-crypto-online,https://info-crypto-online-63egjobh1-gdsvictor15-5597s-projects.vercel.app,ok
site_0120,noticias-ledger-site,https://noticias-ledger-site-qubjnilrp-gdsvictor15-5597s-projects.vercel.app,ok
site_0121,base-verify-online,https://base-verify-online-mk2yfdqb6-gdsvictor15-5597s-projects.vercel.app,ok
site_0122,public-gate,https://public-gate-9q8s4lpdb-gdsvictor15-5597s-projects.vercel.app,ok
site_0123,stack-ledger-go,https://stack-ledger-6p24hhygd-gdsvictor15-5597s-projects.vercel.app,ok
site_0124,gate-wallet,https://gate-wallet-3jslc73qk-gdsvictor15-5597s-projects.vercel.app,ok
site_0125,cloud-ledger,https://cloud-ledger-ig2xk3ocm-gdsvictor15-5597s-projects.vercel.app,ok
site_0126,link-defi,https://link-defi-58v49bu2j-gdsvictor15-5597s-projects.vercel.app,ok
site_0127,report-net,https://report-1jklfgxe7-gdsvictor15-5597s-projects.vercel.app,ok
site_0128,stack-analytics-io,https://stack-analytics-h1pw96il9-gdsvictor15-5597s-projects.vercel.app,ok
site_0129,node-web3-info,https://node-web3-info-nxdo145so-gdsvictor15-5597s-projects.vercel.app,ok
site_0130,grid-api-io,https://grid-api-9inr2v5jo-gdsvictor15-5597s-projects.vercel.app,ok
site_0131,link-monitor,https://link-monitor-j337y1cy5-gdsvictor15-5597s-projects.vercel.app,ok
site_0132,analytics-press-plus,https://analytics-press-plus-rfxz65mz2-gdsvictor15-5597s-projects.vercel.app,ok
site_0133,noticias-public-sp,https://noticias-public-n5n14k82y-gdsvictor15-5597s-projects.vercel.app,ok
site_0134,track-social-co,https://track-social-dgtp2vdzv-gdsvictor15-5597s-projects.vercel.app,ok
site_0135,wave-chain-digital,https://wave-chain-digital-h1oatt4wz-gdsvictor15-5597s-projects.vercel.app,ok
site_0136,health-saude-sp,https://health-saude-l1afkvayv-gdsvictor15-5597s-projects.vercel.app,ok
site_0137,audit-portal,https://audit-portal-qn14qpox7-gdsvictor15-5597s-projects.vercel.app,ok
site_0138,chain-scan-net,https://chain-scan-98ovvlura-gdsvictor15-5597s-projects.vercel.app,ok
site_0139,fundo-audit-net,https://fundo-audit-25n0sjvaa-gdsvictor15-5597s-projects.vercel.app,ok
site_0140,digital-api-sp,https://digital-api-a0sz1cgav-gdsvictor15-5597s-projects.vercel.app,ok
site_0141,track-peak,https://track-peak-44vi7cs3q-gdsvictor15-5597s-projects.vercel.app,ok
site_0142,saude-block-br,https://saude-block-3bm73vxy0-gdsvictor15-5597s-projects.vercel.app,ok
site_0143,wallet-cloud,https://wallet-cloud-8m9bylqyh-gdsvictor15-5597s-projects.vercel.app,ok
site_0144,digital-report-sp,https://digital-report-a48eoexxa-gdsvictor15-5597s-projects.vercel.app,ok
site_0145,weekly-track-pro,https://weekly-track-5ga1qvfog-gdsvictor15-5597s-projects.vercel.app,ok
site_0146,report-base,https://report-base-45o9uiuws-gdsvictor15-5597s-projects.vercel.app,ok
site_0147,public-api-net,https://public-api-67on4cqbc-gdsvictor15-5597s-projects.vercel.app,ok
site_0148,vault-weekly-hq,https://vault-weekly-djbyu6882-gdsvictor15-5597s-projects.vercel.app,ok
site_0149,market-mint,https://market-mint-a335h80eb-gdsvictor15-5597s-projects.vercel.app,ok
site_0150,dash-web3-web,https://dash-web3-6gn4ynhg7-gdsvictor15-5597s-projects.vercel.app,ok
site_0151,view-verify,https://view-verify-n54a7ta45-gdsvictor15-5597s-projects.vercel.app,ok
site_0152,pulse-social-net,https://pulse-social-pntdxohhq-gdsvictor15-5597s-projects.vercel.app,ok
site_0153,social-prime,https://social-prime-lat2ongfj-gdsvictor15-5597s-projects.vercel.app,ok
site_0154,link-dev-plus,https://link-dev-plus-7g4r2hbh8-gdsvictor15-5597s-projects.vercel.app,ok
site_0155,wallet-analytics-pro,https://wallet-analytics-c03dbny3s-gdsvictor15-5597s-projects.vercel.app,ok
site_0156,audit-grid,https://audit-grid-dpmbdcvni-gdsvictor15-5597s-projects.vercel.app,ok
site_0157,block-invest-app,https://block-invest-hylxjpnbg-gdsvictor15-5597s-projects.vercel.app,ok
site_0158,chain-digital-hub,https://chain-digital-md5147qxn-gdsvictor15-5597s-projects.vercel.app,ok
site_0159,ledger-pulse,https://ledger-pulse-emewlwlu5-gdsvictor15-5597s-projects.vercel.app,ok
site_0160,web3-wallet-sp,https://web3-wallet-6t9pzxffb-gdsvictor15-5597s-projects.vercel.app,ok
site_0161,code-grid,https://code-grid-qfhqw2sgm-gdsvictor15-5597s-projects.vercel.app,ok
site_0162,net-health-dev,https://net-health-jav9qldep-gdsvictor15-5597s-projects.vercel.app,ok
site_0163,public-grid,https://public-grid-in3vgw4h5-gdsvictor15-5597s-projects.vercel.app,ok
site_0164,node-health-online,https://node-health-online-ncm5hgnrx-gdsvictor15-5597s-projects.vercel.app,ok
site_0165,net-bolsa-dev,https://net-bolsa-m2shn4n50-gdsvictor15-5597s-projects.vercel.app,ok
site_0166,flow-code,https://flow-code-aqjfkbwkp-gdsvictor15-5597s-projects.vercel.app,ok
site_0167,edge-chain-pro,https://edge-chain-6k9uidx2k-gdsvictor15-5597s-projects.vercel.app,ok
